Metadata,Unnamed: 1
ID,Numerical ID
Age,"Age, in years"
Gender,"Gender (Female = 1, Male = 0)"
Job,"1 = Unemployed
2 = Employee/Worker
3 = Manager/Executive
4 = Entrepreneur/Freelancer
5 = Retired"
Area,"1=Nord, 2=Centro, 3=Sud/Isole"
CitySize,"1 = Small town, 2 = Medium-sized city, 3 = Large city (>200k population)"
FamilySize,Number of family members
Income,Normalized Income (percentiles)
Wealth,Normalized Wealth (percentiles)
Debt,Normalized Debt (percentiles)
FinEdu,Normalized Financial Education (percentiles)
ESG,Normalized ESG propensity (percentiles)
Digital,Normalized Digital propensity (percentiles)
BankFriend,Normalized Bank Friendliness (percentiles)
LifeStyle,Normalized Lifestyle Index (percentiles); higher values = 
Luxury,Normalized Luxury spending (percentiles)
Saving,Normalized Saving propensity (percentiles)
Investments,Investment type: 1 = no investments; 2 = mostly lump sum; 3 = mostly capital accumulation (gradual investment with monthly payments)
